year,low_start_1,mid_start_1,high_start_1,low_end_1,mid_end_1,high_end_1,low_start_2,mid_start_2,high_start_2,low_end_2,mid_end_2,high_end_2
2008,2008-01-05,2008-03-15,2008-06-07,2008-03-14,2008-06-06,2008-09-12,2008-11-15,2008-09-13,2008-12-20,2008-12-19,2008-11-14,2008-01-02
2009,2009-01-03,2009-03-14,2009-06-06,2009-03-13,2009-06-05,2009-09-11,2009-11-14,2009-09-12,2009-12-19,2009-12-18,2009-11-13,2009-01-03
2010,2010-01-02,2010-03-06,2010-06-26,2010-03-05,2010-06-25,2010-09-10,2010-11-06,2010-09-11,2010-12-18,2010-12-17,2010-11-05,2010-01-02
2011,2011-01-02,2011-03-05,2011-06-25,2011-03-04,2011-06-24,2011-09-09,2011-11-05,2011-09-10,2011-12-17,2011-12-16,2011-11-04,2011-01-01
2012,2012-01-02,2012-03-03,2012-06-23,2012-03-02,2012-06-22,2012-09-07,2012-11-10,2012-09-08,2012-12-15,2012-12-14,2012-11-09,2012-01-01
2013,2013-01-02,2013-03-02,2013-06-22,2013-03-01,2013-06-21,2013-09-05,2013-11-09,2013-09-06,2013-12-14,2013-12-13,2013-11-08,2013-01-01
2014,2014-01-02,2014-03-08,2014-06-21,2014-03-07,2014-06-20,2014-09-05,2014-11-08,2014-09-06,2014-12-13,2014-12-12,2014-11-07,2014-01-01
2015,2015-01-02,2015-03-07,2015-06-20,2015-03-06,2015-06-19,2015-09-04,2015-11-07,2015-09-05,2015-12-19,2015-12-18,2015-11-06,2015-01-01
2016,2016-01-02,2016-03-05,2016-06-18,2016-03-04,2016-06-17,2016-09-02,2016-11-05,2016-09-03,2016-12-17,2016-12-16,2016-11-04,2016-01-01
2017,2017-01-02,2017-03-11,2017-06-17,2017-03-10,2017-06-16,2017-09-08,2017-11-04,2017-09-09,2017-12-23,2017-12-22,2017-11-03,2017-01-01
2018,2018-01-02,2018-03-17,2018-06-16,2018-03-16,2018-06-15,2018-09-07,2018-11-03,2018-09-08,2018-12-22,2018-12-21,2018-11-02,2018-01-01
2019,2019-01-02,2019-03-16,2019-06-15,2019-03-15,2019-06-14,2019-09-06,2019-11-02,2019-09-07,2019-12-21,2019-12-20,2019-11-01,2019-01-01
2020,2020-01-02,2020-03-14,2020-06-13,2020-03-13,2020-06-12,2020-09-04,2020-10-31,2020-09-05,2020-12-19,2020-12-18,2020-10-30,2020-01-01
2021,2021-01-02,2021-03-13,2021-06-12,2021-03-12,2021-06-11,2021-09-03,2021-10-30,2021-09-04,2021-12-18,2021-12-17,2021-10-29,2021-01-01
2022,2022-01-03,2022-03-11,2022-06-10,2022-03-10,2022-06-09,2022-09-01,2022-10-28,2022-09-02,2022-12-23,2022-12-22,2022-10-27,2022-01-01
2023,2023-01-03,2023-03-11,2023-06-10,2023-03-10,2023-06-09,2023-09-01,2023-10-28,2023-09-02,2023-12-23,2023-12-22,2023-10-27,2023-01-01
